1000,23656
1500,19557
2000,26645
2500,33691
3000,40685
3500,47638
4000,54526
4500,61358
5000,68144
5500,74863
6000,81546
6500,88135
7000,94650
7500,101068
8000,107382
8500,113608
9000,119664
9500,125549
9999,131164
